instnm,Average net price-students awarded grant or scholarship aid  2018-19 (SFA1819),Percent full-time first-time receiving an award - 6 years (DRVOM2019),State abbreviation (HD2018),City location of institution (HD2018),ZIP code (HD2018),Admissions office web address (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Sector of institution (HD2018),Historically Black College or University (HD2018),Carnegie Classification 2018: Undergraduate Instructional Program (HD2018),Carnegie Classification 2018: Basic (HD2018),Carnegie Classification 2018: Undergraduate Profile (HD2018),Institution size category (HD2018),ROTC (IC2018_RV),Study abroad (IC2018_RV),Member of National Collegiate Athletic Association (NCAA) (IC2018),Total price for out-of-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Percent admitted - total (DRVADM2018_RV),Admissions yield - total (DRVADM2018_RV),Percent of undergraduate enrollment that are White (DRVEF2018_RV),Percent of undergraduate enrollment that are women (DRVEF2018_RV),Graduation rate  total cohort (DRVGR2018_RV),Completion of college-preparatory program (ADM2018_RV),Recommendations (ADM2018_RV),SAT Math 25th percentile score (ADM2018_RV),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018_RV),
Baptist Theological Seminary at Richmond,,,VA,Henrico,23228, ,-77.468483,37.632354,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Baptist University of the Americas,8856,21,TX,San Antonio,78224-1364,www.bua.edu/en/admissions/,-98.546081,29.349980,2,2,15,24,7,1,0,0,0,16210,16210,,,6,55,33,,,,,
Barclay College,24479,43,KS,Haviland,67059-0288,www.barclaycollege.edu,-99.105351,37.620120,2,2,18,24,9,1,0,1,0,32500,32500,46,58,62,48,43,3,1,,,
Bard College,27652,74,NY,Annandale-On-Hudson,12504-5000,www.bard.edu/admission/,-73.909927,42.020386,2,2,7,21,12,2,0,1,1,72768,72768,65,15,55,60,75,2,1,,,
Bard College at Simon's Rock,39176,55,MA,Great Barrington,01230-9702,www.simons-rock.edu/admission,-73.379201,42.208803,2,2,5,23,12,1,0,1,0,71998,71998,81,65,54,60,60,5,1,,,
Barnard College,26649,93,NY,New York,10027-6598,admissions.barnard.edu,-73.963346,40.810098,2,2,6,21,14,2,1,1,1,74777,74777,14,55,51,100,92,1,1,660,670,
Barnes-Jewish College Goldfarb School of Nursing,,,MO,Saint Louis,63110,barnesjewishcollege.edu/Admissions,-90.258772,38.637165,2,2,20,26,11,1,0,0,0,,,,,84,88,,,,,,
Barry University,18721,35,FL,Miami,33161-6695, ,-80.198925,25.878908,2,2,16,17,11,3,0,1,1,46898,46898,91,13,17,61,36,2,2,460,480,
Barton College,24419,53,NC,Wilson,27893-7000,https://www.barton.edu/admissions/,-77.913867,35.734376,2,2,16,22,11,2,0,1,1,46600,46600,40,20,56,63,52,2,2,450,470,
Bastyr University,,,WA,Kenmore,98028-4966,www.bastyr.edu/admissions/,-122.251708,47.729935,2,2,13,26,11,2,0,1,0,,,,,65,81,,,,,,
Bates College,26669,92,ME,Lewiston,04240,www.bates.edu/admission/,-70.203333,44.105299,2,2,6,21,14,2,0,1,1,71168,71168,18,38,71,50,89,2,1,,,
Bay Mills Community College,,20,MI,Brimley,49715, ,-84.607089,46.454584,1,2,18,33,2,1,0,0,0,,,,,40,74,18,,,,,
Bay Path University,22740,46,MA,Longmeadow,01106,www.baypath.edu/Admissions.aspx,-72.583382,42.055088,2,2,13,18,9,2,1,1,1,50524,50524,60,15,55,100,59,2,1,,,
Baylor College of Medicine,,,TX,Houston,77030-3498,www.bcm.edu/admissions/,-95.395743,29.710600,2,2,0,25,0,2,0,0,0,,,,,,,,,,,,
Baylor University,38372,77,TX,Waco,76798,www.baylor.edu/admissions,-97.121041,31.546872,2,2,16,16,14,4,1,1,1,62527,62527,39,23,63,60,79,2,5,590,600,
Be'er Yaakov Talmudic Seminary,4159,41,NY,Spring Valley,10977-1912, ,-74.028425,41.139050,2,2,18,24,10,1,0,0,0,18070,18070,,,100,0,54,,,,,
Beacon College,45346,60,FL,Leesburg,34748,www.beaconcollege.edu/admissions/,-81.874150,28.811281,2,2,12,22,15,1,0,1,0,57506,57506,51,67,66,39,56,2,1,,,
Becker College,32915,39,MA,Worcester,01609-2165,www.becker.edu/admissions/,-71.811894,42.269171,2,2,15,22,13,2,1,1,1,57160,57160,66,12,66,59,44,1,2,490,490,
Beis Medrash Heichal Dovid,11139,20,NY,Far Rockaway,11691-4433,www.heichaldovid.org,-73.751633,40.596845,2,2,20,24,12,1,0,0,0,18000,18000,76,90,100,0,29,2,1,,,
Belhaven University,17840,49,MS,Jackson,39202,www.belhaven.edu/admission.htm,-90.169228,32.318415,2,2,16,18,5,2,1,1,1,35450,35450,52,22,40,65,47,3,2,,,
Bellarmine University,23158,64,KY,Louisville,40205-0671,www.bellarmine.edu/admissions/,-85.704997,38.219279,2,2,13,17,14,2,1,1,1,61138,61138,86,14,79,64,67,1,1,520,540,
Bellevue College,,33,WA,Bellevue,98007-6484,https://bellevuecollege.edu/admissions/,-122.150118,47.584014,1,2,5,14,5,4,0,1,0,25950,20584,,,43,56,29,,,,,
Bellevue University,13261,17,NE,Bellevue,68005-3098,www.bellevue.edu/admissions-tuition/admission-requirements/bachelor-admissions,-95.917640,41.150225,2,2,16,18,11,3,1,1,0,20970,20970,,,50,53,0,,,,,
Bellin College,27673,70,WI,Green Bay,54311,https://www.bellincollege.edu/admissions.php,-87.921722,44.468277,2,2,20,26,9,1,0,1,0,,,88,90,93,90,74,2,1,,,
Bellingham Technical College,,48,WA,Bellingham,98225-1599,www.btc.edu/FutureStudents/indexFutureStudents.aspx,-122.512160,48.766189,1,2,5,14,7,2,0,0,0,,,,,63,51,46,,,,,
Belmont Abbey College,21817,44,NC,Belmont,28012-1802,belmontabbeycollege.edu/admissions/,-81.041315,35.260651,2,2,15,22,13,2,1,1,1,32894,32894,80,23,57,50,44,2,2,470,480,
Belmont University,36976,69,TN,Nashville,37212-3757,www.belmont.edu/prospectivestudents,-86.794807,36.135589,2,2,16,17,15,3,1,1,1,52760,52760,82,23,80,65,73,1,2,540,580,
Beloit College,24493,86,WI,Beloit,53511-5595,www.beloit.edu/prospective/,-89.029285,42.504022,2,2,6,21,14,2,0,1,1,61584,61584,56,11,52,55,79,2,1,550,570,
Bemidji State University,,47,MN,Bemidji,56601,www.bemidjistate.edu/admissions/,-94.874119,47.482341,1,2,16,20,9,3,0,1,1,20994,20994,67,28,80,57,46,3,3,,,
Benedict College,13581,26,SC,Columbia,29204-1086,www.benedict.edu/cms/?q=admissions,-81.020403,34.012941,2,1,15,22,10,2,1,1,1,28000,28000,,,1,52,29,,,,,
Benedictine College,24320,64,KS,Atchison,66002-1499,www.benedictine.edu/apply,-95.111473,39.572646,2,2,13,22,14,2,1,1,0,44850,44850,93,25,79,52,60,2,1,520,530,
Benedictine University,25604,50,IL,Lisle,60532-0900,www.ben.edu/admissions/,-88.097307,41.777569,2,2,16,17,13,2,1,1,1,50006,50006,63,13,42,54,47,5,5,490,490,
Benjamin Franklin Institute of Technology,14581,48,MA,Boston,02116,www.bfit.edu/admissions,-71.070231,42.346023,2,2,5,28,11,1,0,0,0,40850,40850,,,18,14,45,,,,,
Bennett College,10267,36,NC,Greensboro,27401-3239,bellenet.bennett.edu/ICS/Admissions/Prospective_Students.jnz,-79.779980,36.067531,2,1,9,21,10,1,1,1,0,32817,32817,96,6,0,100,32,5,5,390,410,
Bennington College,38386,67,VT,Bennington,05201-6003,www.bennington.edu/Admissions,-73.237799,42.919547,2,2,7,21,12,1,0,1,0,73270,73270,57,24,59,64,74,2,1,,,
Bentley University,41582,90,MA,Waltham,02452-4705,www.bentley.edu/undergraduate,-71.222839,42.385995,2,2,19,18,14,3,1,1,1,68710,68710,43,25,58,40,89,1,1,640,600,
Berea College,5156,66,KY,Berea,40404-2182,https://www.berea.edu/admissions/,-84.292893,37.572020,2,2,9,21,14,2,0,1,1,49854,49854,38,73,55,58,63,2,2,510,520,
Bergin University of Canine Studies,,,CA,Penngrove,94951,www.berginu.edu/admission.html,-122.681639,38.303233,2,2,5,32,11,1,0,0,0,,,,,75,88,,,,,,
Berkeley School of Theology,,,CA,Berkeley,94704-3029,www.absw.edu/?s=Admissions,-122.256149,37.865252,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Berklee College of Music,43744,63,MA,Boston,02215,www.berklee.edu/admissions/,-71.089405,42.346646,2,2,8,30,9,3,0,1,0,65144,65144,48,39,43,40,64,3,1,,,
Berry College,25192,64,GA,Mount Berry,30149,www.berry.edu/admission,-85.189202,34.290414,2,2,13,20,14,2,0,1,1,52480,52480,66,19,79,61,66,1,1,540,570,
Bet Medrash Gadol Ateret Torah,6005,7,NY,Brooklyn,11223-1933,betmedrashgadolaterettorah.com,-73.969945,40.607809,2,2,18,24,10,1,0,0,0,17710,17710,91,90,100,0,56,1,1,,,
Beth Hamedrash Shaarei Yosher Institute,6366,6,NY,Brooklyn,11204,bethhamedrashshaareiyosher.com,-73.981202,40.635444,2,2,18,24,11,1,0,0,0,17500,17500,79,88,100,0,6,2,1,,,
Beth Hatalmud Rabbinical College,,,NY,Brooklyn,11214-2594,https://bethhatalmud.com,-73.992684,40.605256,2,2,18,24,13,1,0,0,0,,,,,100,0,8,1,1,,,
Beth Medrash Govoha,,,NJ,Lakewood,08701-2754, ,-74.222100,40.095680,2,2,20,24,11,3,0,0,0,,,,,97,0,,,,,,
Beth Medrash Meor Yitzchok,10604,10,NY,Monsey,10952-4023,https://bethmedrashmeoryitzchok.com,-74.060843,41.100906,2,2,5,24,12,1,0,0,0,20150,20150,54,89,98,0,6,1,1,,,
Beth Medrash of Asbury Park,9698,6,NJ,Lakewood,08701-5842,https://Baismedrashzichronmeir.com,-74.210816,40.043705,2,2,18,24,11,1,0,0,0,18940,18940,84,74,95,0,,1,1,,,
Bethany College,19780,34,KS,Lindsborg,67456-1897,https://www.bethanylb.edu/future/admissions/,-97.673670,38.580598,2,2,15,22,11,1,0,1,0,45019,45019,68,32,65,43,29,2,2,450,440,
Bethany College,20389,45,WV,Bethany,26032,www.bethanywv.edu/admissions-aid/,-80.560056,40.205819,2,2,12,21,10,1,0,1,1,44153,44153,91,18,54,40,34,1,2,440,450,
Bethany Global University,20224,56,MN,Bloomington,55438-2849,https://www.bethanygu.edu/admissions/,-93.371754,44.795501,2,2,5,24,11,1,0,0,0,26478,26478,92,54,81,75,62,3,3,,,
Bethany Lutheran College,17580,51,MN,Mankato,56001,https://www.blc.edu/admissions,-93.990805,44.166649,2,2,9,21,12,1,1,1,1,38370,38370,78,45,77,52,55,2,2,530,520,
Bethany Theological Seminary,,,IN,Richmond,47374-4019,www.bethanyseminary.edu/admissions-landing/,-84.910689,39.826244,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Bethel College-North Newton,21785,41,KS,North Newton,67117-1716,www.bethelks.edu/admissions/,-97.343256,38.075169,2,2,15,22,13,1,0,1,0,42765,42765,44,22,70,54,52,2,2,453,468,
Bethel Seminary-San Diego,,,CA,San Diego,92115,https://www.bethel.edu/seminary/admissions/,-117.066050,32.765387,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Bethel Seminary-St Paul,,,MN,Saint Paul,55112,https://www.bethel.edu/seminary/admissions/,-93.163180,45.060071,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Bethel University,18348,64,IN,Mishawaka,46545-5591,www.betheluniversity.edu/admission-aid,-86.194686,41.678399,2,2,16,20,11,2,1,1,0,41590,41590,92,27,68,65,71,2,3,480,490,
Bethel University,26468,72,MN,Saint Paul,55112,https://www.bethel.edu/admissions/,-93.161663,45.057655,2,2,16,17,13,2,1,1,1,51700,51700,71,40,77,62,77,3,5,510,523,
Bethel University,15649,28,TN,McKenzie,38201,www.bethelu.edu/admissions,-88.516762,36.137848,2,2,19,18,11,3,0,1,0,31570,31570,66,33,54,56,29,2,3,420,400,
Bethesda University,18561,18,CA,Anaheim,92801,www.buc.edu/web2/21_admissions.htm,-117.941323,33.842295,2,2,19,24,10,1,0,1,0,,,,,8,33,18,,,,,
Bethlehem College & Seminary,5500,80,MN,Minneapolis,55415-1793,bcsmn.edu/index.php/admissions,-93.255399,44.968872,2,2,17,24,13,1,0,0,0,13360,13360,89,79,94,38,88,3,1,560,620,
Bethune-Cookman University,16515,35,FL,Daytona Beach,32114-3099,www.cookman.edu/admissions/index.html,-81.032946,29.207195,2,1,13,21,10,2,1,1,1,29876,29876,,,1,62,34,,,,,
Beulah Heights University,11824,11,GA,Atlanta,30316,www.beulah.edu/applynow,-84.357680,33.736993,2,2,14,24,5,1,0,0,0,22460,22460,,,1,48,20,,,,,
Bexley Hall Seabury Western Theological Seminary Federation  Inc.,,,IL,Chicago,60637,www.bexleyseabury.edu/admissions/,-87.591173,41.785693,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Binghamton University,,82,NY,Vestal,13850-6000,www.binghamton.edu/admissions,-75.966889,42.087868,1,2,11,15,15,4,1,1,1,43706,26911,40,19,57,50,81,5,1,660,650,
Biola University,33331,73,CA,La Mirada,90639-0001,https://www.biola.edu/undergrad/admissions,-118.014374,33.906203,2,2,13,17,13,3,1,1,1,56956,56956,73,31,45,63,73,2,3,520,540,
Birmingham-Southern College,23452,65,AL,Birmingham,35254,www.bsc.edu/admission/index.html,-86.850552,33.513774,2,2,9,21,14,2,1,1,1,34400,34400,57,16,79,52,68,3,5,520,520,
Birthingway College of Midwifery,,,OR,Portland,97266, ,-122.538471,45.476809,2,2,18,26,0,1,0,0,0,,,,,77,100,,,,,,
Bismarck State College,,49,ND,Bismarck,58506-5587,https://bismarckstate.edu/admissions/,-100.816534,46.821459,1,2,5,14,7,2,0,1,0,16272,14676,,,86,44,49,,,,,
Black Hills State University,,33,SD,Spearfish,57799-9500,www.bhsu.edu/Admissions,-103.870966,44.494889,1,2,16,20,7,2,1,1,1,24256,21211,88,30,80,64,34,1,3,468,490,
Blackburn College,16175,49,IL,Carlinville,62626,https://blackburn.edu/prospective-students/admissions,-89.870241,39.287896,2,2,12,21,10,1,0,1,1,31990,31990,52,38,75,60,52,2,2,480,480,
Blessing Rieman College of Nursing and Health Sciences,,,IL,Quincy,62305-7005,www.brcn.edu,-91.399045,39.936549,2,2,20,26,11,1,0,0,0,,,,,93,91,,,,,,
Bloomfield College,17782,30,NJ,Bloomfield,07003,www.bloomfield.edu/admission,-74.194309,40.795105,2,2,9,21,11,2,0,1,1,45946,45946,61,17,9,62,34,2,1,430,430,
Bloomsburg University of Pennsylvania,,56,PA,Bloomsburg,17815,www.bloomu.edu/admissions/,-76.447844,41.007820,1,2,16,18,12,3,1,1,1,36876,25052,77,27,78,57,60,1,2,490,500,
Blue Mountain College,12195,58,MS,Blue Mountain,38610-9509,www.bmc.edu/admission_aid.asp,-89.029240,34.672090,2,2,16,22,13,1,0,0,0,23435,23435,93,49,82,53,49,3,3,470,420,
Bluefield College,23054,19,VA,Bluefield,24605,www.bluefield.edu/admissions/,-81.246233,37.244557,2,2,18,22,11,2,0,1,0,38844,38844,95,20,62,50,29,2,3,448,450,
Bluefield State College,,27,WV,Bluefield,24701,bluefieldstate.edu/admissions,-81.239037,37.265732,1,1,15,22,11,2,0,0,1,,,95,36,86,64,26,2,3,460,460,
Bluffton University,26002,51,OH,Bluffton,45817-2104,www.bluffton.edu/admission,-83.899439,40.895606,2,2,16,22,10,1,0,1,1,47566,47566,42,19,76,45,54,2,5,440,430,
Bob Jones University,14570,68,SC,Greenville,29614-0001,www.bju.edu/admission/,-82.365838,34.874016,2,2,16,20,12,2,1,0,0,27926,27926,,,69,55,66,,,,,
Boise Bible College,21315,55,ID,Boise,83714-1220,www.boisebible.edu/admissions/admissions-overview,-116.291321,43.658651,2,2,18,24,11,1,0,0,0,23818,23818,92,83,85,35,48,2,1,480,500,
Boise State University,,41,ID,Boise,83725,admissions.boisestate.edu/,-116.203301,43.604284,1,2,17,16,9,5,1,1,1,39158,23076,81,32,72,57,46,2,3,510,520,
Bon Secours Memorial College of Nursing,,100,VA,Richmond,23227-1149,www.bsmcon.edu/admissions,-77.433569,37.646698,2,2,18,26,5,1,0,1,0,,,,,75,92,100,,,,,
Boricua College,12784,62,NY,New York,10032-1560,boricuacollege.edu/_Admissions/Admissions.html,-73.945800,40.833434,2,2,19,22,11,1,0,0,0,,,,,1,80,62,,,,,
Boston Architectural College,26640,9,MA,Boston,02115-2703,www.the-bac.edu/admissions,-71.085786,42.348467,2,2,20,30,11,1,0,0,0,39988,39988,,,38,49,20,,,,,
Boston Baptist College,18263,55,MA,Boston,02136-4030,https://www.boston.edu/admissions/faqs,-71.110300,42.254037,2,2,18,24,11,1,0,0,0,26691,26691,77,47,80,54,70,2,1,455,430,
Boston College,28354,92,MA,Chestnut Hill,02467,www.bc.edu/admission/undergrad/,-71.169242,42.336213,2,2,11,15,14,4,1,1,1,73092,73092,28,27,58,53,92,1,1,670,650,
Boston Graduate School of Psychoanalysis Inc,,,MA,Brookline,02446,https://www.bgsp.edu/admissions-and-financial-aid/,-71.133151,42.339120,2,2,0,26,0,1,0,0,0,,,,,,,,,,,,
Boston University,29479,87,MA,Boston,02215,www.bu.edu/admissions,-71.107942,42.351118,2,2,14,15,14,5,1,1,1,72618,72618,22,25,37,60,88,1,1,680,650,
Bowdoin College,23808,95,ME,Brunswick,04011,www.bowdoin.edu/admissions/,-69.963942,43.907134,2,2,6,21,14,2,0,1,1,70710,70710,10,55,61,51,95,1,1,,,
Bowie State University,,40,MD,Bowie,20715-9465,https://www.bowiestate.edu/admissions-financial-aid/,-76.759721,39.018185,1,1,16,18,11,3,1,0,1,33878,23238,38,23,2,61,42,2,3,,,
Bowling Green State University-Firelands,,19,OH,Huron,44839-9791,https://www.firelands.bgsu.edu/admissions.html,-82.594156,41.397521,4,2,1,2,2,2,0,0,0,,,,,78,65,11,,,,,
Bowling Green State University-Main Campus,,53,OH,Bowling Green,43403,choose.bgsu.edu/,-83.640896,41.375513,1,2,16,16,12,4,1,1,1,32903,24915,72,27,78,55,56,1,3,440,440,
Bradley University,26791,72,IL,Peoria,61625-0001,www.bradley.edu/admissions/freshman,-89.616786,40.696896,2,2,16,18,14,3,1,1,1,47820,47820,67,15,73,51,78,1,2,540,550,
Brandeis University,37264,89,MA,Waltham,02454-9110,www.brandeis.edu/admissions/,-71.260155,42.365727,2,2,8,15,14,3,1,1,1,73335,73335,31,24,46,61,88,1,1,650,630,
Brandman University,23781,,CA,Irvine,92618,www.brandman.edu/admissions,-117.769012,33.656401,2,2,13,17,5,3,0,0,0,,,79,76,54,61,0,3,3,,,
Brazosport College,,31,TX,Lake Jackson,77566-3199,www.brazosport.edu/students/future-students/admissions/,-95.409340,29.048604,1,2,5,23,5,2,0,0,0,,,,,46,52,20,,,,,
Brenau University,21438,46,GA,Gainesville,30501-3668,www.brenau.edu,-83.821513,34.303117,2,2,16,18,7,2,0,1,0,45518,45518,57,18,48,90,43,2,2,440,470,
Brescia University,13184,38,KY,Owensboro,42301-3023,www.brescia.edu/admissions,-87.111639,37.769041,2,2,16,22,9,2,0,1,0,36450,36450,39,15,62,71,35,3,3,510,490,
Brevard College,24433,31,NC,Brevard,28712,https://brevard.edu/admission-aid/,-82.729494,35.236763,2,2,15,22,14,1,0,1,1,42440,42440,46,26,68,43,33,2,3,,,
Brewton-Parker College,18459,23,GA,Mount Vernon,30445,www.bpc.edu/admissions-aid,-82.586136,32.185718,2,2,12,21,11,1,0,0,0,31598,31598,97,59,55,44,22,3,3,410,450,
Briar Cliff University,20437,42,IA,Sioux City,51104,www.briarcliff.edu/admissions/,-96.428444,42.526443,2,2,16,22,7,2,1,1,0,44486,44486,,,62,55,45,,,,,
Bridgewater College,18727,62,VA,Bridgewater,22812-1599,https://www.bridgewater.edu/Admissions,-78.969007,38.378484,2,2,12,21,12,2,0,1,1,51310,51310,66,14,65,56,64,2,5,490,490,
Bridgewater State University,,59,MA,Bridgewater,02325,www.bridgew.edu/admissions,-70.974553,41.987490,1,2,13,18,13,4,1,1,1,32951,26811,90,25,73,59,60,1,2,490,500,
Brigham Young University-Hawaii,12679,56,HI,Laie,96762-1294,admissions.byuh.edu/,-157.926586,21.642074,2,2,12,22,15,2,1,0,0,19054,19054,45,42,33,61,63,2,1,530,553,
Brigham Young University-Idaho,7038,52,ID,Rexburg,83460-1690,www.byui.edu/Admissions/,-111.782431,43.818408,2,2,12,22,5,5,1,0,0,12050,12050,97,46,65,58,57,2,1,500,510,
Brigham Young University-Provo,13340,58,UT,Provo,84602,https://admissions.byu.edu/,-111.649281,40.250851,2,2,13,16,14,5,1,1,1,18776,18776,64,79,81,50,86,5,1,590,600,
Brite Divinity School,,,TX,Fort Worth,76129,www.brite.edu/admission/,-97.359137,32.710145,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Brooklyn Law School,,,NY,Brooklyn,11201,www.brooklaw.edu/Admissions.aspx,-73.989623,40.691836,2,2,0,31,0,2,0,1,0,,,,,,,,,,,,
Broward College,,41,FL,Fort Lauderdale,33301,www.broward.edu/admissions/Pages/default.aspx,-80.141830,26.119422,1,2,5,14,5,5,1,1,0,,,,,17,60,31,,,,,
Brown University,27218,95,RI,Providence,02912,https://www.brown.edu/admission/undergraduate/,-71.403850,41.826170,2,2,8,15,14,4,1,1,1,73802,73802,8,61,42,54,95,1,1,720,700,
Bryan College of Health Sciences,24691,76,NE,Lincoln,68506,https://www.bryanhealthcollege.edu/bcohs/admission/,-96.651532,40.796768,2,2,19,26,5,1,0,1,0,,,59,75,88,91,69,3,5,,,
Bryan College-Dayton,16650,46,TN,Dayton,37321,www.bryan.edu/admissions,-84.999552,35.497209,2,2,16,20,13,2,0,1,0,38250,38250,51,41,84,54,50,2,5,457,517,
Bryant University,40038,79,RI,Smithfield,02917-1291,https://admission.bryant.edu/applying-to-bryant,-71.539547,41.920092,2,2,19,19,12,2,1,1,1,62320,62320,76,16,74,38,81,1,1,,,
Bryn Athyn College of the New Church,17406,52,PA,Bryn Athyn,19009-0711,www.brynathyn.edu/admissions,-75.060808,40.134393,2,2,9,21,11,1,1,1,1,36496,36496,89,30,65,53,56,2,5,498,498,
Bryn Mawr College,33716,83,PA,Bryn Mawr,19010,www.brynmawr.edu/admissions/,-75.313223,40.027360,2,2,7,21,14,2,1,1,1,70860,70860,34,36,39,100,87,2,1,,,
Bucknell University,39493,90,PA,Lewisburg,17837,www.bucknell.edu/x68.xml,-76.882616,40.954317,2,2,10,21,14,2,1,1,1,72750,72750,33,29,72,51,88,1,1,630,620,
Buena Vista University,18449,59,IA,Storm Lake,50588,https://www.bvu.edu/admissions,-95.208529,42.642255,2,2,16,19,13,2,1,1,1,46808,46808,57,17,74,65,54,2,3,470,450,
Bushnell University,21513,54,OR,Eugene,97401-3745,www.nwcu.edu/admissions/,-123.079754,44.047483,2,2,16,19,7,1,0,1,0,42650,42650,62,33,68,61,46,2,5,465,470,
Butler University,39923,81,IN,Indianapolis,46208,go.butler.edu/about-admission/,-86.172167,39.837400,2,2,13,18,14,3,0,1,1,59660,59660,68,12,82,60,82,1,2,580,590,
Byzantine Catholic Seminary of Saints Cyril and Methodius,,,PA,Pittsburgh,15214-2229, ,-80.015825,40.484409,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Cabarrus College of Health Sciences,15200,58,NC,Concord,28025-3959,www.carolinashealthcare.org/education/cabarrus-college-of-health-sciences/Admissions,-80.600824,35.440038,2,2,5,26,5,1,0,0,0,,,41,78,83,92,69,2,1,480,510,
Cabrini University,22475,55,PA,Radnor,19087-3698,www.cabrini.edu/admissions,-75.375263,40.056355,2,2,13,18,12,2,1,1,1,47320,47320,72,17,52,61,57,1,5,,,
Cairn University-Langhorne,21671,61,PA,Langhorne,19047-2990,www.cairn.edu/admissions/,-74.909509,40.165809,2,2,13,20,11,2,1,1,1,40611,40611,76,45,71,56,62,2,5,465,490,
Caldwell University,17394,65,NJ,Caldwell,07006-6195,www.caldwell.edu/admissions/,-74.272571,40.832753,2,2,10,19,10,2,1,1,1,50640,50640,67,17,32,67,57,2,2,480,480,
California Baptist University,23055,57,CA,Riverside,92504-3297,www.calbaptist.edu/admissions,-117.425619,33.929321,2,2,16,18,13,4,1,1,1,47694,47694,80,31,39,62,55,2,1,480,510,
California Christian College,-1368,25,CA,Fresno,93727,www.calchristiancollege.edu/admissions,-119.711123,36.749366,2,2,18,24,5,1,0,0,0,21611,21611,100,100,31,15,0,2,1,,,
California College of the Arts,42065,61,CA,San Francisco,94107-2247,www.cca.edu/admissions,-122.399451,37.767485,2,2,17,30,13,2,0,1,0,67074,67074,88,13,20,62,60,2,1,,,
California College San Diego,24762,53,CA,San Marcos,92069-2971, ,-117.160658,33.138303,2,2,5,23,10,1,0,0,0,,,,,27,47,,,,,,
California College San Diego,24643,35,CA,San Diego,92111, ,-117.166966,32.835221,2,2,5,26,10,1,0,0,0,,,,,20,47,39,,,,,
California College San Diego-CollegeAmerica-Phoenix,24490,41,AZ,Phoenix,85051,www.collegeamerica.edu,-112.117971,33.574685,2,2,5,26,10,1,0,0,0,,,,,25,65,38,,,,,
California Institute of Advanced Management,,,CA,Alhambra,91803,ciam.edu/new/admissions,-118.150550,34.082467,2,2,0,29,0,1,0,0,0,,,,,,,,,,,,
California Institute of Integral Studies,,,CA,San Francisco,94103,www.ciis.edu/admissions/,-122.416102,37.774924,2,2,8,17,11,2,0,1,0,,,,,52,61,,,,,,
California Institute of Technology,27438,89,CA,Pasadena,91125,www.admissions.caltech.edu/,-118.125878,34.137349,2,2,11,15,14,2,1,1,1,72084,72084,7,43,27,45,92,1,1,790,740,
California Institute of the Arts,54594,67,CA,Valencia,91355-2397,calarts.edu/prospective,-118.566837,34.393270,2,2,8,30,14,2,0,1,0,71135,71135,23,40,42,55,56,5,1,,,
California International Business University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Jazz Conservatory,15882,,CA,Berkeley,94704-1268, ,-122.268878,37.871235,2,2,6,30,5,1,0,0,0,,,100,100,69,37,,3,1,,,
California Lutheran University,29693,69,CA,Thousand Oaks,91360-2787,www.callutheran.edu/admission/,-118.878924,34.224566,2,2,13,18,13,2,1,1,1,61599,61599,71,17,43,57,76,1,1,530,540,
California Polytechnic State University-San Luis Obispo,,82,CA,San Luis Obispo,93407,admissions.calpoly.edu/,-120.657311,35.299513,1,2,16,18,14,5,1,1,1,40182,28302,30,27,54,48,82,1,3,620,620,
California State Polytechnic University-Pomona,,66,CA,Pomona,91768,www.cpp.edu/admissions/,-117.821476,34.057912,1,2,16,18,13,5,1,1,1,40771,28891,55,19,16,47,71,1,3,510,510,
California State University Maritime Academy,,64,CA,Vallejo,94590-8181,https://www.csum.edu/web/admissions,-122.231551,38.069061,1,2,19,22,13,2,1,1,0,39230,27350,67,29,47,17,62,1,3,,,
